"Nome","Códigos","Último","Var%","Capitalização","Vol."
"NortonLifeLock BDR","S1YM34","90,00","0,00%","66,18B","0"
"Qorvo BDR","Q1RV34","262,98","0,00%","51,2B","0"
"DocuSign BDR","D1OC34","12,53","-0,16%","51,08B","2"
"F5 Networks BDR","F1FI34","187,27","0,00%","46,72B","0"
"Juniper Networks BDR","J1NP34","159,92","0,00%","44,24B","0"
"TIM ON","TIMS3","14,40","-0,69%","34,85B","4.360.100"
"Wix.com BDR","W1IX34","15,50","-2,88%","26,42B","50"
"IPG Photonics BDR","I1PG34","300,20","0,00%","25,83B","0"
"DXC Technology BDR","D1XC34","93,70","-0,95%","19,46B","47"
"Totvs ON","TOTS3","29,62","1,06%","17,82B","1.763.000"
"Xerox BDR","XRXB34","69,00","0,00%","11,94B","0"
"GDS Holdings BDR","G1DS34","6,16","-0,16%","11,54B","238"
"Intelbras ON","INTB3","23,41","-1,47%","7,67B","675.600"
"Kingsoft Cloud BDR","K2CG34","5,11","-3,95%","7,05B","2.205"
"Locaweb ON","LWSA3","7,09","0,00%","4,19B","3.205.900"
"Sinqia ON","SQIA3","26,63","0,57%","2,25B","661.300"
"Desktop ON","DESK3","14,25","-0,35%","1,64B","82.800"
"Unifique ON","FIQE3","4,37","-2,46%","1,54B","147.800"
"Telebras PN","TELB4","12,70","-0,94%","1,38B","5.400"
"Telebras ON","TELB3","16,90","0,60%","1,38B","2.100"
"Brisanet ON","BRIT3","3,04","-3,18%","1,36B","429.900"
"Positivo ON","POSI3","8,26","-4,95%","1,16B","1.186.700"
"Méliuz ON","CASH3","8,84","-6,95%","764,75M","4.488.200"
"Infracommerce ON","IFCM3","1,73","1,76%","670,09M","2.643.100"
"Oi ON","OIBR3","1,02","0,00%","632,73M","2.777.200"
"Oi PN","OIBR4","2,63","-5,40%","632,73M","142.500"
"Allied ON","ALLD3","6,61","-2,79%","616,19M","65.900"
"Neogrid ON","NGRD3","1,76","-0,57%","402,2M","453.800"
"Enjoei ON","ENJU3","1,55","-5,49%","310,38M","1.155.300"
"Padtec ON","PDTC3","3,03","5,57%","237,7M","226.700"
"Getninjas ON","NINJ3","3,86","0,26%","196,08M","47.800"
"Dtcom ON","DTCY3","5,80","0,00%","64,56M","0"
"Atom ON","ATOM3","2,54","-1,17%","60,46M","6.300"
